"Month","Sales"
1991-07-31,3526591
1991-08-31,3180891
1991-09-30,3252221
1991-10-31,3611003
1991-11-30,3565869
1991-12-31,4306371
1992-01-31,5088335
1992-02-29,2814520
1992-03-31,2985811
1992-04-30,3204780
1992-05-31,3127578
1992-06-30,3270523
1992-07-31,373785082
1992-08-31,355877609
1992-09-30,377720173
1992-10-31,392449042
1992-11-30,438653092
1992-12-31,581054917
1993-01-31,619206769
1993-02-28,345085699
1993-03-31,377230686
1993-04-30,37343029
1993-05-31,390539892
1993-06-30,404968714
1993-07-31,431556552
1993-08-31,456218455
1993-09-30,460866203
1993-10-31,466785129
1993-11-30,509384145
1993-12-31,71799622
1994-01-31,673147308
1994-02-28,384127758
1994-03-31,439407557
1994-04-30,407534073
1994-05-31,45406449
1994-06-30,464561508
1994-07-31,475260653
1994-08-31,535060467
1994-09-30,520445484
1994-10-31,53016513
1994-11-30,577374216
1994-12-31,620459348
1995-01-31,674948382
1995-02-28,421606735
1995-03-31,494934946
1995-04-30,48230449
1995-05-31,519475419
1995-06-30,517078711
1995-07-31,525674157
1995-08-31,585527729
1995-09-30,549072901
1995-10-31,611529323
1995-11-30,608847284
1995-12-31,741659792
1996-01-31,832945212
1996-02-29,506979585
1996-03-31,526255667
1996-04-30,559712628
1996-05-31,6110296
1996-06-30,568916084
1996-07-31,648684933
1996-08-31,630056933
1996-09-30,646747574
1996-10-31,682862939
1996-11-30,664907826
1996-12-31,860693721
1997-01-31,852447101
1997-02-28,527791837
1997-03-31,571430345
1997-04-30,621452908
1997-05-31,641192919
1997-06-30,666771564
1997-07-31,705083102
1997-08-31,670491861
1997-09-30,725098761
1997-10-31,781973318
1997-11-30,739810106
1997-12-31,1009623339
1998-01-31,879851303
1998-02-28,591826076
1998-03-31,653449298
1998-04-30,667573561
1998-05-31,706420058
1998-06-30,738338118
1998-07-31,781349587
1998-08-31,743189221
1998-09-30,827511722
1998-10-31,826044138
1998-11-30,859615575
1998-12-31,1055893902
1999-01-31,103914156
1999-02-28,642153456
1999-03-31,806261937
1999-04-30,72977391
1999-05-31,793691594
1999-06-30,816532298
1999-07-31,871742046
1999-08-31,907096378
1999-09-30,917711337
1999-10-31,925188674
1999-11-30,993313643
1999-12-31,1153297428
2000-01-31,1251146235
2000-02-29,745719853
2000-03-31,859119084
2000-04-30,847400037
2000-05-31,93868026
2000-06-30,956039945
2000-07-31,108342948
2000-08-31,1064375083
2000-09-30,990816186
2000-10-31,117100413
2000-11-30,1134015074
2000-12-31,1207913184
2001-01-31,1449758109
2001-02-28,804927477
2001-03-31,1031289116
2001-04-30,975335821
2001-05-31,1085038183
2001-06-30,996171916
2001-07-31,1144360144
2001-08-31,1165923889
2001-09-30,1064705979
2001-10-31,1265213444
2001-11-30,1367446631
2001-12-31,1296573509
2002-01-31,1630026927
2002-02-28,905348536
2002-03-31,1000244879
2002-04-30,1078875007
2002-05-31,1210670515
2002-06-30,1095410107
2002-07-31,1284456587
2002-08-31,1219649985
2002-09-30,1285474787
2002-10-31,1354200436
2002-11-30,13287640
2002-12-31,1513491784
2003-01-31,1682834968
2003-02-28,980021461
2003-03-31,1081699371
2003-04-30,1065422256
2003-05-31,1251232269
2003-06-30,1216120969
2003-07-31,129980462
2003-08-31,1251727568
2003-09-30,1326865761
2003-10-31,1473362169
2003-11-30,1366938174
2003-12-31,1650396561
2004-01-31,1800376795
2004-02-29,1193802987
2004-03-31,129979001
2004-04-30,1288264507
2004-05-31,1394344681
2004-06-30,139894722
2004-07-31,1533909742
2004-08-31,1537076394
2004-09-30,16142005
2004-10-31,16685754
2004-11-30,17636728
2004-12-31,18869325
2005-01-31,20778723
2005-02-28,12154552
2005-03-31,13402392
2005-04-30,14459239
2005-05-31,14795102
2005-06-30,15705248
2005-07-31,15829550
2005-08-31,17554701
2005-09-30,18100864
2005-10-31,17496668
2005-11-30,19347265
2005-12-31,20031291
2006-01-31,23486694
2006-02-28,12536987
2006-03-31,15467018
2006-04-30,14233539
2006-05-31,17783058
2006-06-30,16291602
2006-07-31,16980282
2006-08-31,18612189
2006-09-30,16623343
2006-10-31,21430241
2006-11-30,23575517
2006-12-31,23334206
2007-01-31,28038383
2007-02-28,16763869
2007-03-31,19792754
2007-04-30,16427305
2007-05-31,21000742
2007-06-30,20681002
2007-07-31,21834890
2007-08-31,2393020353
2007-09-30,2293035694
2007-10-31,2326333992
2007-11-30,2525003022
2007-12-31,25806090
2008-01-31,29665356
2008-02-29,21654285
2008-03-31,18264945
2008-04-30,23107677
2008-05-31,22912510
2008-06-30,19431740
