"Architecture","Best_Resolution","Core_Speed","Dedicated","HDMI_Connection","Manufacturer","Max_Power","Memory","Memory_Bandwidth","Memory_Bus","Memory_Speed","Memory_Type","Name","Pixel_Rate","Process","ROPs","Release_Date","Resolution_WxH","SLI_Crossfire","Shader","TMUs","Texture_Rate"
"Tesla G92b ",NA,"738 ","Yes",0,"Nvidia","141 ","1024  ","64","256  ","1000 ","GDDR3","GeForce GTS 150","12 ","55","16","
01-Mar-2009 ","2560x1600","Yes",4,64,"47 "
"R600 XT ","1366 x 768",NA,"Yes",0,"AMD","215 ","512  ","106","512  ","828 ","GDDR3","Radeon HD 2900 XT 512MB","12 ","80","16","
14-May-2007 ","2560x1600","Yes",4,16,"12 "
"R600 PRO ","1366 x 768",NA,"Yes",0,"AMD","200 ","512  ","51.2","256  ","800 ","GDDR3","Radeon HD 2900 Pro","10 ","80","16","
07-Dec-2007 ","2560x1600","Yes",4,16,"10 "
"RV630 ","1024 x 768",NA,"Yes",0,"AMD",NA,"256  ","36.8","128  ","1150 ","GDDR4","Radeon HD 2600 XT Diamond Edition","3 ","65","4","
01-Jul-2007 ","2560x1600","Yes",4,8,"7 "
"RV630 ","1024 x 768",NA,"Yes",0,"AMD","45 ","256  ","22.4","128  ","700 ","GDDR3","Radeon HD 2600 XT","3 ","65","4","
28-Jun-2007 ","2560x1600","Yes",4,8,"6 "
"RV630 ","1024 x 768",NA,"Yes",0,"AMD","50 ","256  ","35.2","128  ","1100 ","GDDR4","Radeon HD 2600 XT 256MB GDDR4","3 ","65","4","
26-Jun-2007 ","2560x1600","Yes",4,8,"6 "
"R700 RV790 XT ","1920 x 1080","870 ","Yes",1,"AMD","190 ","2048  ","134.4","256  ","1050 ","GDDR5","Radeon HD 4890 Sapphire Vapor-X OC 2GB Edition","14 ","55","16","
13-Jul-2009 ","2560x1600","Yes",4.1,40,"35 "
"R600 GT ","1024 x 768",NA,"Yes",0,"AMD","150 ","256  ","51.2","256  ","800 ","GDDR3","Radeon HD 2900 GT","7 ","80","12","
06-Nov-2007 ","2560x1600","Yes",4,12,"7 "
"Pitcairn XT GL ","1920 x 1080",NA,"Yes",0,"AMD","150 ","2048  ","160","256  ","1250 ","GDDR5","FirePro D300","25 ","28","32","
18-Jan-2014 ","4096x2160","Yes",5,80,"62 "
"RV100 ",NA,NA,"Yes",NA,"AMD","32 ","64  ","2.9","64  ","366 ","DDR","Radeon 7000 64mb",NA,NA,NA,"
02-Jan-2001 ","1600x1200","No",1,NA,NA
"NV28GL A2 ",NA,NA,"Yes",0,"Nvidia",NA,"128  ","5.2","128  ","325 ","DDR","Quadro4 980 XGL","1 ","150","4","
01-Nov-2002 ",NA,"No",1.3,8,"2 "
"Fermi GF110 ","1920 x 1080","650 ","Yes",1,"Nvidia","250 ","6144  ","177.6","384  ","925 ","GDDR5","Tesla M2090","31 ","40","48","
25-Jul-2011 ","2560x1600","Yes",5,56,"36 "
"Kepler GK110 ",NA,"705 ","Yes",0,"Nvidia","225 ","5120  ","168","320  ","1050 ","GDDR5","Tesla K20",NA,"28",NA,"
01-Nov-2012 ","4096x2160","No",5,NA,NA
"Kepler GK110 ","2560 x 1600","706 ","Yes",0,"Nvidia","245 ","12288  ","288.4","384  ","1502 ","GDDR5","Tesla K40c","34 ","28","48","
12-Nov-2013 ","4096x2160","Yes",5,240,"169 "
"RV200 ",NA,NA,"Yes",NA,"AMD",NA,"64  ","5.8","128  ","360 ","DDR","All-in-Wonder Radeon 7500",NA,NA,NA,"
22-Jan-2002 ","1600x1200","No",NA,NA,NA
"GCN 1.1 Oland XT + Kaveri ","1600 x 900","1050 ","Yes",1,"AMD","150 ","3072  ","57.6","128  ","900 ","DDR3","Radeon R7 250 v2 MSI OC 2GB + Radeon R7 7870K Dual","18 ","28","8 (x2)","
28-May-2015 ","2560x1600","Yes",5,28,"62 "
"Kepler GK104 x2 ",NA,NA,"Yes",0,"Nvidia","300 ","8192  ","320","512  ","1250 ","GDDR5","Tesla K10",NA,"28",NA,"
15-May-2012 ","4096x2160","No",5,NA,NA
"Kepler GK110 ",NA,"732 ","Yes",0,"Nvidia","235 ","6144  ","249.6","384  ","1300 ","GDDR5","Tesla K20X",NA,"28",NA,"
12-Nov-2012 ","4096x2160","Yes",5,NA,NA
"Skylake GT3-E ","1366 x 768","300 ","No",NA,"Intel","28 ",NA,"34.1","128  ","1067 ","DDR4","Iris i3 6167U","2 ","14","2","
01-Sep-2015 ","4096x2304","No",5,8,"8 "
"R360 ","1024 x 768",NA,"Yes",0,"AMD","60 ","256  ","23.4","256  ","730 ","DDR","Radeon 9800 XT","3 ","150","8","
01-Oct-2003 ","2048x1536","No",2,8,"3 "
"Fermi GF100 ",NA,"575 ","Yes",0,"Nvidia","238 ","6144  ","144","384  ","750 ","GDDR5","Tesla C2070",NA,"40",NA,"
01-Sep-2010 ","2560x1600","No",5,NA,NA
"Fermi GF100 ",NA,"575 ","Yes",0,"Nvidia","247 ","6144  ","144","384  ","750 ","GDDR5","Tesla C2075",NA,"40",NA,"
01-Jul-2011 ","2560x1600","No",5,NA,NA
"NV25 A2 ",NA,NA,"Yes",0,"Nvidia",NA,"128  ","3.6","128  ","225 ","DDR","Quadro4 750 XGL","1 ","150","4","
19-Feb-2002 ",NA,"No",1.3,8,"2 "
"NV28GL A2 ",NA,NA,"Yes",0,"Nvidia",NA,"128  ","5.2","128  ","325 ","DDR","Quadro4 900 XGL","1 ","150","4","
01-Nov-2002 ",NA,"No",1.3,8,"2 "
"Skylake GT3-E ","1366 x 768","300 ","No",NA,"Intel","15 ",NA,"34.1","128  ","1067 ","DDR4","Iris i5 6360U","2 ","14","2","
01-Sep-2015 ","4096x2304","No",5,8,"8 "
"NV28 ",NA,NA,"Yes",0,"Nvidia",NA,"128  ","4.4","128  ","275 ","DDR","Quadro4 780 XGL","1 ","150","4","
01-Nov-2002 ",NA,"No",1.3,8,"2 "
"Fermi GF100 ",NA,"575 ","Yes",0,"Nvidia","238 ","3072  ","144","384  ","750 ","GDDR5","Tesla C2050",NA,"40",NA,"
01-May-2010 ","2560x1600","No",5,NA,NA
"Skylake GT3-E ","1366 x 768","300 ","No",NA,"Intel","28 ",NA,"34.1","128  ","1067 ","DDR4","Iris i5 6267U","2 ","14","2","
01-Sep-2015 ","4096x2304","No",5,8,"8 "
"Skylake GT3-E ","1366 x 768","300 ","No",NA,"Intel","15 ",NA,"34.1","128  ","1067 ","DDR4","Iris i5 6260U","2 ","14","2","
01-Sep-2015 ","4096x2304","No",5,8,"8 "
"Haswell GT3 ","1366 x 768","200 ","No",NA,"Intel","15 ",NA,"25.6","128  ","800 ","DDR3","Iris i5 4258U","4 ","22","4","
02-Jun-2013 ","2560x1600","No",5,8,"9 "
"NV18 A4 ",NA,NA,"Yes",0,"Nvidia",NA,"64  ","3.2","128  ","200 ","DDR","Quadro4 580 XGL","1 ","150","4","
01-Nov-2002 ",NA,"No",1.3,4,"1 "
"Broadwell GT3-E ","1366 x 768","300 ","No",NA,"Intel","47 ",NA,"29.9","128  ","933 ","DDR3","Iris i5 5350H","2 ","14","2","
02-Jun-2015 ","4096x2304","No",5,8,"8 "
"NV17 A3 ",NA,NA,"Yes",0,"Nvidia",NA,"64  ","3.2","128  ","200 ","DDR","Quadro4 550 XGL","1 ","150","4","
19-Feb-2002 ",NA,"No",1.3,4,"1 "
"NV18 A4 ",NA,NA,"Yes",0,"Nvidia",NA,"128  ","4.1","128  ","256 ","DDR","Quadro4 380 XGL","1 ","150","4","
19-Feb-2002 ",NA,"No",1.3,4,"1 "
"NV25 A2 ",NA,NA,"Yes",0,"Nvidia",NA,"64  ","3.6","128  ","225 ","DDR","Quadro4 700 XGL","1 ","150","4","
19-Feb-2002 ",NA,"No",1.3,8,"2 "
"Skylake GT3-E ","1366 x 768","300 ","No",NA,"Intel","28 ",NA,"34.1","128  ","1067 ","DDR4","Iris i5 6287U","2 ","14","2","
01-Sep-2015 ","4096x2304","No",5,8,"9 "
"Skylake GT3-E ","1366 x 768","300 ","No",NA,"Intel","15 ",NA,"34.1","128  ","1067 ","DDR4","Iris i7 6650U","2 ","14","2","
01-Sep-2015 ","4096x2304","No",5,8,"8 "
"NV17 A3 ",NA,NA,"Yes",0,"Nvidia",NA,"128  ","2.7","128  ","166 ","DDR","Quadro4 500 XGL","1 ","150","4","
19-Feb-2002 ",NA,"No",1.3,4,"1 "
"Skylake GT3-E ","1366 x 768","300 ","No",NA,"Intel","28 ",NA,"34.1","128  ","1067 ","DDR4","Iris i7 6567U","2 ","14","2","
01-Sep-2015 ","4096x2304","No",5,8,"9 "
"Skylake GT3-E ","1366 x 768","300 ","No",NA,"Intel","15 ",NA,"34.1","128  ","1067 ","DDR4","Iris i7 6560U","2 ","14","2","
01-Sep-2015 ","4096x2304","No",5,8,"8 "
"Broadwell GT3-E ","1366 x 768","300 ","No",NA,"Intel","47 ",NA,"29.9","128  ","933 ","DDR3","Iris i7 5950HQ","2 ","14","2","
02-Jun-2015 ","4096x2304","No",5,8,"9 "
"Broadwell GT3-E ","1366 x 768","300 ","No",NA,"Intel","47 ",NA,"25.6","128  ","800 ","DDR3","Iris i7 5850EQ","2 ","14","2","
02-Jun-2015 ","4096x2304","No",5,8,"8 "
"Pascal GP102 ","3840 x 2160",NA,NA,1,"Nvidia","250 ",NA,"480","384  ","1250 ","GDDR5X","Titan X Pascal 2016","147 ","16","96","
02-Aug-2016 ","7680x4320","No",5,224,"343 "
"Broadwell GT3-E ","1366 x 768","300 ","No",NA,"Intel","47 ",NA,"29.9","128  ","933 ","DDR3","Iris i7 5850HQ","2 ","14","2","
02-Jun-2015 ","4096x2304","No",5,8,"9 "
"Broadwell GT3-E ","1366 x 768","300 ","No",NA,"Intel","47 ",NA,"29.9","128  ","933 ","DDR3","Iris i7 5750HQ","2 ","14","2","
02-Jun-2015 ","4096x2304","No",5,8,"8 "
"Pascal GP102 ","3840 x 2160",NA,"Yes",1,"Nvidia","250 ","12288  ","547.2","96  ","1425 ","GDDR5X","GeForce Titan XP","152 ","16","24 (x4)","
06-Apr-2017 ","7680x4320","Yes",5,56,"354 "
"Kepler GK110-400-A1 ","2560 x 1440","837 ","Yes",1,"Nvidia","250 ","6144  ","288.4","384  ","1502 ","GDDR5","GeForce GTX Titan Zotac Edition","42 ","28","48","
19-Feb-2013 ","4096x2160","Yes",5,224,"196 "
"Kepler GK110-430-B1 (x2) ","5760 x 1600","705 ","Yes",1,"Nvidia","375 ","12288  ","672","384  ","1750 ","GDDR5","GeForce GTX Titan Z Palit 12GB Edition","84 ","28","48 (x2)","
28-May-2014 ","4096x2160","Yes",5,240,"420 "
"Kepler GK110B ","5760 x 1600",NA,"Yes",1,"Nvidia","375 ","12288  ","672","384  ","1750 ","GDDR5","GeForce GTX Titan Z EVGA Superclocked 12GB Edition","88 ","28","48 (x2)","
28-May-2014 ","4096x2160","Yes",5,240,"439 "
"Kepler GK110-430-B1 (x2) ","3840 x 2160","705 ","Yes",1,"Nvidia","375 ","12288  ","672","384  ","1750 ","GDDR5","GeForce GTX Titan Z","84 ","28","48 (x2)","
28-May-2014 ","4096x2160","Yes",5,240,"420 "
"Kepler GK110B ","5760 x 1600",NA,"Yes",1,"Nvidia","375 ","12288  ","672","384  ","1750 ","GDDR5","GeForce GTX Titan Z EVGA Hydro Copper 12GB Edition","90 ","28","48 (x2)","
28-May-2014  ","4096x2160","Yes",5,240,"452 "
"Maxwell GM200-400-A1 ","3840 x 2160","1140 ","Yes",1,"Nvidia","250 ","12288  ","336.6","384  ","1753 ","GDDR5","GeForce GTX Titan X EVGA Hybrid 12GB Edition","120 ","28","96","
17-Mar-2015 ","4096x2160","Yes",5,192,"240 "
"Maxwell GM200-400-A1 (x2) ","3840 x 2160","1127 ","Yes",1,"Nvidia",NA,"24576  ","673.2","384  ","1753 ","GDDR5","GeForce GTX Titan X EVGA Superclocked 12GB Edition SLI","233 ","28","96 (x2)","
17-Mar-2015 ","4096x2160","Yes",5,192,"467 "
"Kepler GK110-400-A1 ","2560 x 1440","902 ","Yes",1,"Nvidia",NA,"6144  ","317.2","384  ","1652 ","GDDR5","GeForce GTX Titan Zotac AMP! Edition","46 ","28","48","
01-Apr-2013 ","4096x2160","Yes",5,224,"214 "
"Maxwell GM200-400-A1 (x2) ","5760 x 1080","1000 ","Yes",1,"Nvidia","450 ","24576  ","673.2","384  ","1753 ","GDDR5","GeForce GTX Titan X SLI","209 ","28","96 (x2)","
17-Mar-2015 ","4096x2160","Yes",5,192,"418 "
"Maxwell GM200-400-A1 ","3840 x 2160","1000 ","Yes",1,"Nvidia","250 ","12288  ","336.6","384  ","1753 ","GDDR5","GeForce GTX Titan X","105 ","28","96","
17-Mar-2015 ","4096x2160","Yes",5,192,"209 "
"Maxwell GM200-400-A1 ","3840 x 2160","1127 ","Yes",1,"Nvidia","250 ","12288  ","336.6","384  ","1753 ","GDDR5","GeForce GTX Titan X EVGA Superclocked 12GB Edition","117 ","28","96","
17-Mar-2015 ","4096x2160","Yes",5,192,"233 "
"Kepler GK110-400-A1 ","2560 x 1440","928 ","Yes",1,"Nvidia","265 ","6144  ","288.4","384  ","1502 ","GDDR5","GeForce GTX Titan WindForce 3X OC Edition","47 ","28","48","
15-May-2013 ","4096x2160","Yes",5,224,"220 "
"Kepler GK110-400-A1 (x2) ","5760 x 1600","837 ","Yes",2,"Nvidia","500 ","12288  ","576.8","384  ","1502 ","GDDR5","GeForce GTX Titan SLI","84 ","28","48 (x2)","
19-Feb-2013 ","4096x2160","Yes",5,224,"392 "
"Pascal P100 ","3840 x 2160","1000 ","Yes",1,"Nvidia","300 ","12288  ","384","3072  ","500 ","HBM-2","GeForce GTX Titan P 12GB [not released]","96 ","16","96","
17-Aug-2016 ","7680x4320","Yes",5,320,"320 "
"Kepler GK110-400-A1 ","2560 x 1440","837 ","Yes",1,"Nvidia","250 ","6144  ","288.4","384  ","1502 ","GDDR5","GeForce GTX Titan Inno3D Edition","42 ","28","48","
19-Feb-2013 ","4096x2160","Yes",5,224,"196 "
"Pascal P100 ","3840 x 2160","1000 ","Yes",1,"Nvidia","375 ","16384  ","512","4096  ","500 ","HBM-2","GeForce GTX Titan P 16GB [not released]","128 ","16","128","
17-Aug-2016 ","7680x4320","Yes",5,320,"320 "
"Kepler GK110-400-A1 ","2560 x 1440","837 ","Yes",1,"Nvidia","250 ","6144  ","288.4","384  ","1502 ","GDDR5","GeForce GTX Titan Gigabyte Edition","42 ","28","48","
19-Feb-2013 ","4096x2160","Yes",5,224,"196 "
"Kepler GK110-400-A1 ","2560 x 1440","937 ","Yes",1,"Nvidia","265 ","6144  ","288.4","384  ","1502 ","GDDR5","GeForce GTX Titan iChill Accelero Hybrid Edition","47 ","28","48","
15-Mar-2013 ","4096x2160","Yes",5,224,"220 "
"Kepler GK110-400-A1 ","2560 x 1440","837 ","Yes",1,"Nvidia","250 ","6144  ","288.4","384  ","1502 ","GDDR5","GeForce GTX Titan Asus Edition","42 ","28","48","
19-Feb-2013 ","4096x2160","Yes",5,224,"196 "
"Kepler GK110-430-B1 ","2560 x 1440","889 ","Yes",1,"Nvidia","250 ","6144  ","336","384  ","1750 ","GDDR5","GeForce GTX Titan Black Edition","47 ","28","48","
18-Feb-2014 ","4096x2160","Yes",5,240,"235 "
NA,"1366 x 768",NA,"Yes",0,"AMD",NA,"2048  ","28.8","128  ","900 ","DDR3","Radeon HD 8670D + 6670 Dual","8 ","32","8","
01-Mar-2013 ","2560x1600","No",5,48,"46 "
