Core_Speed,Max_Power,Memory,Memory_Bandwidth,Memory_Bus,Memory_Speed,Pixel_Rate,ROPs,Architecture,Best_Resolution,Dedicated,Manufacturer,Memory_Type,Name,Release_Date,Resolution_WxH,SLI_Crossfire
738.0,141.0,1024.0,64.0,256.0,1000.0,12.0,16.0,Tesla G92b,,Yes,Nvidia,GDDR3,GeForce GTS 150,"
01-Mar-2009",2560x1600,Yes
613.375,215.0,512.0,106.0,512.0,828.0,12.0,16.0,R600 XT,1366 x 768,Yes,AMD,GDDR3,Radeon HD 2900 XT 512MB,"
14-May-2007",2560x1600,Yes
615.625,200.0,512.0,51.2,256.0,800.0,10.0,16.0,R600 PRO,1366 x 768,Yes,AMD,GDDR3,Radeon HD 2900 Pro,"
07-Dec-2007",2560x1600,Yes
331.25,42.625,256.0,36.8,128.0,1150.0,3.0,4.0,RV630,1024 x 768,Yes,AMD,GDDR4,Radeon HD 2600 XT Diamond Edition,"
01-Jul-2007",2560x1600,Yes
631.375,45.0,256.0,22.4,128.0,700.0,3.0,4.0,RV630,1024 x 768,Yes,AMD,GDDR3,Radeon HD 2600 XT,"
28-Jun-2007",2560x1600,Yes
350.0,50.0,256.0,35.2,128.0,1100.0,3.0,4.0,RV630,1024 x 768,Yes,AMD,GDDR4,Radeon HD 2600 XT 256MB GDDR4,"
26-Jun-2007",2560x1600,Yes
870.0,190.0,2048.0,134.4,256.0,1050.0,14.0,16.0,R700 RV790 XT,1920 x 1080,Yes,AMD,GDDR5,Radeon HD 4890 Sapphire Vapor-X OC 2GB Edition,"
13-Jul-2009",2560x1600,Yes
562.875,150.0,256.0,51.2,256.0,800.0,7.0,12.0,R600 GT,1024 x 768,Yes,AMD,GDDR3,Radeon HD 2900 GT,"
06-Nov-2007",2560x1600,Yes
938.75,150.0,2048.0,160.0,256.0,1250.0,25.0,32.0,Pitcairn XT GL,1920 x 1080,Yes,AMD,GDDR5,FirePro D300,"
18-Jan-2014",4096x2160,Yes
527.5,32.0,64.0,2.9,64.0,366.0,1.875,3.5,RV100,,Yes,AMD,DDR,Radeon 7000 64mb,"
02-Jan-2001",1600x1200,No
508.75,41.75,128.0,5.2,128.0,325.0,1.0,4.0,NV28GL A2,,Yes,Nvidia,DDR,Quadro4 980 XGL,"
01-Nov-2002",,No
650.0,250.0,6144.0,177.6,384.0,925.0,31.0,48.0,Fermi GF110,1920 x 1080,Yes,Nvidia,GDDR5,Tesla M2090,"
25-Jul-2011",2560x1600,Yes
705.0,225.0,5120.0,168.0,320.0,1050.0,11.625,15.0,Kepler GK110,,Yes,Nvidia,GDDR5,Tesla K20,"
01-Nov-2012",4096x2160,No
706.0,245.0,12288.0,288.4,384.0,1502.0,34.0,48.0,Kepler GK110,2560 x 1600,Yes,Nvidia,GDDR5,Tesla K40c,"
12-Nov-2013",4096x2160,Yes
527.5,29.75,64.0,5.8,128.0,360.0,1.75,4.25,RV200,,Yes,AMD,DDR,All-in-Wonder Radeon 7500,"
22-Jan-2002",1600x1200,No
