"Core_Speed","Max_Power","Memory","Memory_Bandwidth","Memory_Bus","Memory_Speed","Pixel_Rate","ROPs","Architecture","Best_Resolution","Dedicated","Manufacturer","Memory_Type","Name","Release_Date","Resolution_WxH","SLI_Crossfire"
738,141,1024,64,256,1000,12,16,"Tesla G92b","1920 x 1080","Yes","Nvidia","GDDR3","GeForce GTS 150","
01-Mar-2009","2560x1600","Yes"
613.375,215,512,106,512,828,12,16,"R600 XT","1366 x 768","Yes","AMD","GDDR3","Radeon HD 2900 XT 512MB","
14-May-2007","2560x1600","Yes"
615.625,200,512,51.2,256,800,10,16,"R600 PRO","1366 x 768","Yes","AMD","GDDR3","Radeon HD 2900 Pro","
07-Dec-2007","2560x1600","Yes"
331.25,42.625,256,36.8,128,1150,3,4,"RV630","1024 x 768","Yes","AMD","GDDR4","Radeon HD 2600 XT Diamond Edition","
01-Jul-2007","2560x1600","Yes"
631.375,45,256,22.4,128,700,3,4,"RV630","1024 x 768","Yes","AMD","GDDR3","Radeon HD 2600 XT","
28-Jun-2007","2560x1600","Yes"
350,50,256,35.2,128,1100,3,4,"RV630","1024 x 768","Yes","AMD","GDDR4","Radeon HD 2600 XT 256MB GDDR4","
26-Jun-2007","2560x1600","Yes"
870,190,2048,134.4,256,1050,14,16,"R700 RV790 XT","1920 x 1080","Yes","AMD","GDDR5","Radeon HD 4890 Sapphire Vapor-X OC 2GB Edition","
13-Jul-2009","2560x1600","Yes"
562.875,150,256,51.2,256,800,7,12,"R600 GT","1024 x 768","Yes","AMD","GDDR3","Radeon HD 2900 GT","
06-Nov-2007","2560x1600","Yes"
938.75,150,2048,160,256,1250,25,32,"Pitcairn XT GL","1920 x 1080","Yes","AMD","GDDR5","FirePro D300","
18-Jan-2014","4096x2160","Yes"
527.5,32,64,2.9,64,366,1.875,3.5,"RV100","1920 x 1080","Yes","AMD","DDR","Radeon 7000 64mb","
02-Jan-2001","1600x1200","No"
508.75,41.75,128,5.2,128,325,1,4,"NV28GL A2","1920 x 1080","Yes","Nvidia","DDR","Quadro4 980 XGL","
01-Nov-2002","4096x2160","No"
650,250,6144,177.6,384,925,31,48,"Fermi GF110","1920 x 1080","Yes","Nvidia","GDDR5","Tesla M2090","
25-Jul-2011","2560x1600","Yes"
705,225,5120,168,320,1050,11.625,15,"Kepler GK110","1920 x 1080","Yes","Nvidia","GDDR5","Tesla K20","
01-Nov-2012","4096x2160","No"
706,245,12288,288.4,384,1502,34,48,"Kepler GK110","2560 x 1600","Yes","Nvidia","GDDR5","Tesla K40c","
12-Nov-2013","4096x2160","Yes"
527.5,29.75,64,5.8,128,360,1.75,4.25,"RV200","1920 x 1080","Yes","AMD","DDR","All-in-Wonder Radeon 7500","
22-Jan-2002","1600x1200","No"
1050,150,3072,57.6,128,900,18,8,"GCN 1.1 Oland XT + Kaveri","1600 x 900","Yes","AMD","DDR3","Radeon R7 250 v2 MSI OC 2GB + Radeon R7 7870K Dual","
28-May-2015","2560x1600","Yes"
1197,300,8192,320,512,1250,89.5,68,"Kepler GK104 x2","1920 x 1080","Yes","Nvidia","GDDR5","Tesla K10","
15-May-2012","4096x2160","No"
732,235,6144,249.6,384,1300,40.375,46,"Kepler GK110","1920 x 1080","Yes","Nvidia","GDDR5","Tesla K20X","
12-Nov-2012","4096x2160","Yes"
300,28,632,34.1,128,1067,2,2,"Skylake GT3-E","1366 x 768","No","Intel","DDR4","Iris i3 6167U","
01-Sep-2015","4096x2304","No"
425.375,60,256,23.4,256,730,3,8,"R360","1024 x 768","Yes","AMD","DDR","Radeon 9800 XT","
01-Oct-2003","2048x1536","No"
575,238,6144,144,384,750,13.375,17.5,"Fermi GF100","1920 x 1080","Yes","Nvidia","GDDR5","Tesla C2070","
01-Sep-2010","2560x1600","No"
575,247,6144,144,384,750,13.375,17.5,"Fermi GF100","1920 x 1080","Yes","Nvidia","GDDR5","Tesla C2075","
01-Jul-2011","2560x1600","No"
451.25,30.75,128,3.6,128,225,1,4,"NV25 A2","1920 x 1080","Yes","Nvidia","DDR","Quadro4 750 XGL","
19-Feb-2002","4096x2160","No"
508.75,41.75,128,5.2,128,325,1,4,"NV28GL A2","1920 x 1080","Yes","Nvidia","DDR","Quadro4 900 XGL","
01-Nov-2002","4096x2160","No"
300,15,536,34.1,128,1067,2,2,"Skylake GT3-E","1366 x 768","No","Intel","DDR4","Iris i5 6360U","
01-Sep-2015","4096x2304","No"
451.25,42.25,128,4.4,128,275,1,4,"NV28","1920 x 1080","Yes","Nvidia","DDR","Quadro4 780 XGL","
01-Nov-2002","4096x2160","No"
575,238,3072,144,384,750,35,31,"Fermi GF100","1920 x 1080","Yes","Nvidia","GDDR5","Tesla C2050","
01-May-2010","2560x1600","No"
300,28,632,34.1,128,1067,2,2,"Skylake GT3-E","1366 x 768","No","Intel","DDR4","Iris i5 6267U","
01-Sep-2015","4096x2304","No"
300,15,536,34.1,128,1067,2,2,"Skylake GT3-E","1366 x 768","No","Intel","DDR4","Iris i5 6260U","
01-Sep-2015","4096x2304","No"
200,15,632,25.6,128,800,4,4,"Haswell GT3","1366 x 768","No","Intel","DDR3","Iris i5 4258U","
02-Jun-2013","2560x1600","No"
451.25,42.125,64,3.2,128,200,1,4,"NV18 A4","1920 x 1080","Yes","Nvidia","DDR","Quadro4 580 XGL","
01-Nov-2002","4096x2160","No"
300,47,408,29.9,128,933,2,2,"Broadwell GT3-E","1366 x 768","No","Intel","DDR3","Iris i5 5350H","
02-Jun-2015","4096x2304","No"
451.25,42.125,64,3.2,128,200,1,4,"NV17 A3","1920 x 1080","Yes","Nvidia","DDR","Quadro4 550 XGL","
19-Feb-2002","4096x2160","No"
451.25,38.25,128,4.1,128,256,1,4,"NV18 A4","1920 x 1080","Yes","Nvidia","DDR","Quadro4 380 XGL","
19-Feb-2002","4096x2160","No"
508.75,30.75,64,3.6,128,225,1,4,"NV25 A2","1920 x 1080","Yes","Nvidia","DDR","Quadro4 700 XGL","
19-Feb-2002","4096x2160","No"
300,28,632,34.1,128,1067,2,2,"Skylake GT3-E","1366 x 768","No","Intel","DDR4","Iris i5 6287U","
01-Sep-2015","4096x2304","No"
300,15,536,34.1,128,1067,2,2,"Skylake GT3-E","1366 x 768","No","Intel","DDR4","Iris i7 6650U","
01-Sep-2015","4096x2304","No"
451.25,41.75,128,2.7,128,166,1,4,"NV17 A3","1920 x 1080","Yes","Nvidia","DDR","Quadro4 500 XGL","
19-Feb-2002","4096x2160","No"
300,28,632,34.1,128,1067,2,2,"Skylake GT3-E","1366 x 768","No","Intel","DDR4","Iris i7 6567U","
01-Sep-2015","4096x2304","No"
300,15,536,34.1,128,1067,2,2,"Skylake GT3-E","1366 x 768","No","Intel","DDR4","Iris i7 6560U","
01-Sep-2015","4096x2304","No"
300,47,408,29.9,128,933,2,2,"Broadwell GT3-E","1366 x 768","No","Intel","DDR3","Iris i7 5950HQ","
02-Jun-2015","4096x2304","No"
300,47,568,25.6,128,800,2,2,"Broadwell GT3-E","1366 x 768","No","Intel","DDR3","Iris i7 5850EQ","
02-Jun-2015","4096x2304","No"
1330.125,250,9344,480,384,1250,147,96,"Pascal GP102","3840 x 2160","Yes","Nvidia","GDDR5X","Titan X Pascal 2016","
02-Aug-2016","7680x4320","No"
300,47,408,29.9,128,933,2,2,"Broadwell GT3-E","1366 x 768","No","Intel","DDR3","Iris i7 5850HQ","
02-Jun-2015","4096x2304","No"
300,47,408,29.9,128,933,2,2,"Broadwell GT3-E","1366 x 768","No","Intel","DDR3","Iris i7 5750HQ","
02-Jun-2015","4096x2304","No"
982.625,250,12288,547.2,96,1425,152,24,"Pascal GP102","3840 x 2160","Yes","Nvidia","GDDR5X","GeForce Titan XP","
06-Apr-2017","7680x4320","Yes"
837,250,6144,288.4,384,1502,42,48,"Kepler GK110-400-A1","2560 x 1440","Yes","Nvidia","GDDR5","GeForce GTX Titan Zotac Edition","
19-Feb-2013","4096x2160","Yes"
