"host_identity_verified","neighbourhood_group","neighbourhood","lat","long","country","country_code","instant_bookable","cancellation_policy","room_type","Construction_year","price","service_fee","minimum_nights","number_of_reviews","last_review","reviews_per_month","review_rate_number","calculated_host_listings_count","availability_365"
"unconfirmed","Brooklyn","Kensington",40.64749,-73.97237,"United States","US",FALSE,"strict","Private room",2020,966,193,10,9,"10/19/2021",0.21,4,6,286
"verified","Manhattan","Midtown",40.75362,-73.98377,"United States","US",FALSE,"moderate","Entire home/apt",2007,142,28,30,45,"5/21/2022",0.38,4,2,228
NA,"Manhattan","Harlem",40.80902,-73.9419,"United States","US",TRUE,"flexible","Private room",2005,620,124,3,0,NA,NA,5,1,352
"unconfirmed","Brooklyn","Clinton Hill",40.68514,-73.95976,"United States","US",TRUE,"moderate","Entire home/apt",2005,368,74,30,270,"7/5/2019",4.64,4,1,322
"verified","Manhattan","East Harlem",40.79851,-73.94399,"United States","US",FALSE,"moderate","Entire home/apt",2009,204,41,10,9,"11/19/2018",0.1,3,1,289
"verified","Manhattan","Murray Hill",40.74767,-73.975,"United States","US",TRUE,"flexible","Entire home/apt",2013,577,115,3,74,"6/22/2019",0.59,3,1,374
NA,"Brooklyn","Bedford-Stuyvesant",40.68688,-73.95596,"United States","US",FALSE,"moderate","Private room",2015,71,14,45,49,"10/5/2017",0.4,5,1,224
"unconfirmed","Brooklyn","Bedford-Stuyvesant",40.68688,-73.95596,"United States","US",FALSE,"moderate","Private room",2009,1060,212,45,49,"10/5/2017",0.4,5,1,219
"verified","Manhattan","Hell's Kitchen",40.76489,-73.98493,"United States","US",TRUE,"strict","Private room",2005,1018,204,2,430,"6/24/2019",3.47,3,1,180
"unconfirmed","Manhattan","Upper West Side",40.80178,-73.96723,"United States","US",FALSE,"strict","Private room",2015,291,58,2,118,"7/21/2017",0.99,5,1,375
"verified","Manhattan","Chinatown",40.71344,-73.99037,"United States","US",FALSE,"flexible","Entire home/apt",2004,319,64,1,160,"6/9/2019",1.33,3,4,1
"verified","Manhattan","Upper West Side",40.80316,-73.96545,"United States","US",TRUE,"flexible","Entire home/apt",2008,606,121,5,53,"6/22/2019",0.43,4,1,163
"verified","Manhattan","Hell's Kitchen",40.76076,-73.98867,"United States","US",FALSE,"strict","Private room",2008,714,143,2,188,"6/23/2019",1.5,4,1,258
"verified","brookln","South Slope",40.66829,-73.98779,"United States","US",TRUE,"moderate","Private room",2010,580,116,4,167,"6/24/2019",1.34,4,3,47
"verified","Manhattan","Upper West Side",40.79826,-73.96113,"United States","US",FALSE,"flexible","Private room",2019,149,30,2,113,"7/5/2019",0.91,3,1,68
"verified","Manhattan","West Village",40.7353,-74.00525,"United States","US",TRUE,"flexible","Entire home/apt",2018,578,NA,90,27,"10/31/2018",0.22,3,1,100
"unconfirmed","Brooklyn","Williamsburg",40.70837,-73.95352,"United States",NA,NA,"moderate","Entire home/apt",2009,778,NA,2,148,"6/29/2019",1.2,3,1,197
"verified","Brooklyn","Fort Greene",40.69169,-73.97185,"United States",NA,NA,"flexible","Entire home/apt",2006,656,NA,2,198,"6/28/2019",1.72,5,1,96
"verified","manhatan","Chelsea",40.74192,-73.99501,"United States",NA,NA,"moderate","Private room",2008,460,NA,1,260,"7/1/2019",2.12,3,1,325
NA,"Brooklyn","Crown Heights",40.67592,-73.94694,"United States",NA,NA,"moderate","Entire home/apt",2004,1095,NA,3,53,"6/22/2019",4.44,5,1,345
"verified","Manhattan","East Harlem",40.79685,-73.94872,"United States",NA,NA,"moderate","Entire home/apt",2013,281,56,7,0,NA,NA,3,2,347
"verified","Brooklyn","Williamsburg",40.71842,-73.95718,"United States",NA,NA,"flexible","Entire home/apt",2016,477,95,3,9,"12/28/2021",0.07,3,1,193
"verified","Brooklyn","Park Slope",40.68069,-73.97706,"United States",NA,NA,"moderate","Private room",2013,133,27,2,130,"7/1/2019",1.09,4,6,54
NA,"Brooklyn","Park Slope",40.67989,-73.97798,"United States",NA,NA,"moderate","Private room",2017,1050,210,1,39,"1/1/2019",0.37,3,6,9
"unconfirmed","Brooklyn","Park Slope",40.68001,-73.97865,"United States",NA,NA,"strict","Private room",2005,816,163,2,71,"7/2/2019",0.61,4,6,344
NA,"Brooklyn","Bedford-Stuyvesant",40.68371,-73.94028,"United States",NA,NA,"strict","Entire home/apt",2006,1175,235,2,88,"6/19/2019",0.73,4,2,372
NA,"Brooklyn","Windsor Terrace",40.65599,-73.97519,"United States",NA,NA,"moderate","Private room",2021,530,106,1,19,"6/23/2019",1.37,5,2,344
"verified","Manhattan","Inwood",40.86754,-73.92639,"United States",NA,NA,"strict","Private room",2017,274,55,4,0,NA,NA,NA,1,96
"unconfirmed","Manhattan","Hell's Kitchen",40.76715,-73.98533,"United States",NA,NA,"moderate","Entire home/apt",2016,209,42,10,58,"8/13/2017",0.49,NA,1,103
"verified","Manhattan","Inwood",40.86482,-73.92106,"United States",NA,NA,"strict","Private room",2021,432,86,3,108,"6/15/2019",1.11,NA,3,172
"unconfirmed","Manhattan","East Village",40.7292,-73.98542,"United States",NA,NA,"flexible","Entire home/apt",2010,666,133,14,29,"4/19/2019",0.24,NA,1,56
"unconfirmed","Manhattan","Harlem",40.82245,-73.95104,"United States",NA,NA,"flexible","Private room",2004,770,154,3,242,"6/1/2019",2.04,NA,3,105
"verified","Manhattan","Harlem",40.81305,-73.95466,"United States",NA,NA,"flexible","Private room",2007,512,102,2,88,"6/14/2019",1.42,NA,1,169
"unconfirmed","Brooklyn","Greenpoint",40.72219,-73.93762,"United States",NA,NA,"moderate","Private room",2007,858,172,4,197,"6/15/2019",1.65,NA,3,383
"verified","Manhattan","Harlem",40.8213,-73.95318,"United States",NA,NA,"strict","Private room",2021,545,109,3,273,"7/1/2019",2.37,NA,3,411
"unconfirmed","Brooklyn","Bedford-Stuyvesant",40.6831,-73.95473,"United States","US",TRUE,"strict","Private room",2016,191,38,1,74,"5/12/2019",0.66,NA,2,76
"verified","Brooklyn","South Slope",40.66869,-73.9878,"United States","US",TRUE,"moderate","Private room",2003,1111,222,4,168,"6/21/2019",1.41,NA,3,416
